
executed_tx 100, accessedPercentage 50
executed_tx 135900, accessedPercentage 87
executed_tx 136000, accessedPercentage 87
Predicted: 416633.562500|419413.093750|419711.531250|0.000000, measured: 641265.062500, max txs: 8, ab.prob: 0.079370
executed_tx 136100, accessedPercentage 87
executed_tx 136200, accessedPercentage 87
executed_tx 136300, accessedPercentage 87
executed_tx 136400, accessedPercentage 87
executed_tx 136500, accessedPercentage 87
executed_tx 136600, accessedPercentage 87
executed_tx 136700, accessedPercentage 87
executed_tx 136800, accessedPercentage 87
executed_tx 136900, accessedPercentage 87
executed_tx 137000, accessedPercentage 87
executed_tx 137100, accessedPercentage 87
Predicted: 411685.218750|415400.937500|415903.750000|0.000000, measured: 565580.937500, max txs: 8, ab.prob: 0.081258
executed_tx 137200, accessedPercentage 87
executed_tx 137300, accessedPercentage 87
executed_tx 137400, accessedPercentage 87
executed_tx 137500, accessedPercentage 88
executed_tx 137600, accessedPercentage 88
executed_tx 137700, accessedPercentage 88
executed_tx 137800, accessedPercentage 88
executed_tx 137900, accessedPercentage 88
executed_tx 138000, accessedPercentage 88
executed_tx 138100, accessedPercentage 88
executed_tx 138200, accessedPercentage 88
executed_tx 138300, accessedPercentage 88
Predicted: 411490.093750|415651.062500|415873.000000|0.000000, measured: 564459.500000, max txs: 8, ab.prob: 0.086420
executed_tx 138400, accessedPercentage 88
executed_tx 138500, accessedPercentage 88
executed_tx 138600, accessedPercentage 88
executed_tx 138700, accessedPercentage 88
executed_tx 138800, accessedPercentage 88
executed_tx 138900, accessedPercentage 88
executed_tx 139000, accessedPercentage 88
executed_tx 139100, accessedPercentage 88
executed_tx 139200, accessedPercentage 88
executed_tx 139300, accessedPercentage 88
Predicted: 422823.875000|425525.562500|425757.562500|0.000000, measured: 566605.937500, max txs: 8, ab.prob: 0.081707
executed_tx 139400, accessedPercentage 88
executed_tx 139500, accessedPercentage 88
executed_tx 139600, accessedPercentage 88
executed_tx 139700, accessedPercentage 88
executed_tx 139800, accessedPercentage 88
executed_tx 139900, accessedPercentage 88
executed_tx 140000, accessedPercentage 88
executed_tx 140100, accessedPercentage 88
executed_tx 140200, accessedPercentage 88
executed_tx 140300, accessedPercentage 88
executed_tx 140400, accessedPercentage 88
executed_tx 140500, accessedPercentage 88
Predicted: 403363.406250|407114.593750|407505.187500|0.000000, measured: 635200.500000, max txs: 8, ab.prob: 0.075749
executed_tx 140600, accessedPercentage 88
executed_tx 140700, accessedPercentage 88
executed_tx 140800, accessedPercentage 88
executed_tx 140900, accessedPercentage 88
executed_tx 141000, accessedPercentage 88
executed_tx 141100, accessedPercentage 88
executed_tx 141200, accessedPercentage 88
executed_tx 141300, accessedPercentage 88
executed_tx 141400, accessedPercentage 88
executed_tx 141500, accessedPercentage 88
executed_tx 141600, accessedPercentage 88
Predicted: 415613.906250|419901.750000|420287.875000|0.000000, measured: 564125.250000, max txs: 8, ab.prob: 0.083125
executed_tx 141700, accessedPercentage 88
executed_tx 141800, accessedPercentage 88
executed_tx 141900, accessedPercentage 88
executed_tx 142000, accessedPercentage 88
executed_tx 142100, accessedPercentage 88
executed_tx 142200, accessedPercentage 88
executed_tx 142300, accessedPercentage 88
executed_tx 142400, accessedPercentage 89
executed_tx 142500, accessedPercentage 89
executed_tx 142600, accessedPercentage 89
executed_tx 142700, accessedPercentage 89
Predicted: 412133.187500|415499.406250|415936.250000|0.000000, measured: 639502.500000, max txs: 8, ab.prob: 0.070905
executed_tx 142800, accessedPercentage 89
executed_tx 142900, accessedPercentage 89
executed_tx 143000, accessedPercentage 89
executed_tx 143100, accessedPercentage 89
executed_tx 143200, accessedPercentage 89
executed_tx 143300, accessedPercentage 89
executed_tx 143400, accessedPercentage 89
executed_tx 143500, accessedPercentage 89
executed_tx 143600, accessedPercentage 89
executed_tx 143700, accessedPercentage 89
executed_tx 143800, accessedPercentage 89
Predicted: 420013.687500|423454.281250|423846.281250|0.000000, measured: 568961.062500, max txs: 8, ab.prob: 0.076915
executed_tx 143900, accessedPercentage 89
executed_tx 144000, accessedPercentage 89
executed_tx 144100, accessedPercentage 89
executed_tx 144200, accessedPercentage 89
executed_tx 144300, accessedPercentage 89
executed_tx 144400, accessedPercentage 89
executed_tx 144500, accessedPercentage 89
executed_tx 144600, accessedPercentage 89
executed_tx 144700, accessedPercentage 89
executed_tx 144800, accessedPercentage 89
executed_tx 144900, accessedPercentage 89
executed_tx 145000, accessedPercentage 89
Predicted: 411084.125000|415551.093750|415898.875000|0.000000, measured: 564907.937500, max txs: 8, ab.prob: 0.084740
executed_tx 145100, accessedPercentage 89
executed_tx 145200, accessedPercentage 89
executed_tx 145300, accessedPercentage 89
executed_tx 145400, accessedPercentage 89
executed_tx 145500, accessedPercentage 89
executed_tx 145600, accessedPercentage 89
executed_tx 145700, accessedPercentage 89
executed_tx 145800, accessedPercentage 89
executed_tx 145900, accessedPercentage 89
executed_tx 146000, accessedPercentage 89
executed_tx 146100, accessedPercentage 89
Predicted: 406995.218750|411333.656250|411668.531250|0.000000, measured: 633705.250000, max txs: 8, ab.prob: 0.076288
executed_tx 146200, accessedPercentage 89
executed_tx 146300, accessedPercentage 89
executed_tx 146400, accessedPercentage 89
executed_tx 146500, accessedPercentage 89
executed_tx 146600, accessedPercentage 89
executed_tx 146700, accessedPercentage 89
executed_tx 146800, accessedPercentage 89
executed_tx 146900, accessedPercentage 89
executed_tx 147000, accessedPercentage 89
executed_tx 147100, accessedPercentage 89
executed_tx 147200, accessedPercentage 89
Predicted: 414047.625000|417680.093750|418023.937500|0.000000, measured: 567424.812500, max txs: 8, ab.prob: 0.077241
executed_tx 147300, accessedPercentage 89
executed_tx 147400, accessedPercentage 89
executed_tx 147500, accessedPercentage 89
executed_tx 147600, accessedPercentage 90
executed_tx 147700, accessedPercentage 90
executed_tx 147800, accessedPercentage 90
executed_tx 147900, accessedPercentage 90
executed_tx 148000, accessedPercentage 90
executed_tx 148100, accessedPercentage 90
executed_tx 148200, accessedPercentage 90
executed_tx 148300, accessedPercentage 90
executed_tx 148400, accessedPercentage 90
Predicted: 372909.281250|375137.781250|375485.156250|0.000000, measured: 533758.375000, max txs: 8, ab.prob: 0.075998
executed_tx 148500, accessedPercentage 90
executed_tx 148600, accessedPercentage 90
executed_tx 148700, accessedPercentage 90
executed_tx 148800, accessedPercentage 90
executed_tx 148900, accessedPercentage 90
executed_tx 149000, accessedPercentage 90
executed_tx 149100, accessedPercentage 90
executed_tx 149200, accessedPercentage 90
executed_tx 149300, accessedPercentage 90
executed_tx 149400, accessedPercentage 90
executed_tx 149500, accessedPercentage 90
Predicted: 417737.750000|422112.031250|422728.187500|0.000000, measured: 573077.125000, max txs: 8, ab.prob: 0.082709
executed_tx 149600, accessedPercentage 90
executed_tx 149700, accessedPercentage 90
executed_tx 149800, accessedPercentage 90
executed_tx 149900, accessedPercentage 90
executed_tx 150000, accessedPercentage 90
executed_tx 150100, accessedPercentage 90
executed_tx 150200, accessedPercentage 90
executed_tx 150300, accessedPercentage 90
executed_tx 150400, accessedPercentage 90
executed_tx 150500, accessedPercentage 90
executed_tx 150600, accessedPercentage 90
Predicted: 420709.406250|426051.375000|426667.500000|0.000000, measured: 647722.250000, max txs: 8, ab.prob: 0.073882
executed_tx 150700, accessedPercentage 90
executed_tx 150800, accessedPercentage 90
executed_tx 150900, accessedPercentage 90
executed_tx 151000, accessedPercentage 90
executed_tx 151100, accessedPercentage 90
executed_tx 151200, accessedPercentage 90
executed_tx 151300, accessedPercentage 90
executed_tx 151400, accessedPercentage 90
executed_tx 151500, accessedPercentage 90
executed_tx 151600, accessedPercentage 90
Predicted: 416835.250000|421723.687500|422191.843750|0.000000, measured: 575647.062500, max txs: 8, ab.prob: 0.081017
executed_tx 151700, accessedPercentage 90
executed_tx 151800, accessedPercentage 90
executed_tx 151900, accessedPercentage 90
executed_tx 152000, accessedPercentage 90
executed_tx 152100, accessedPercentage 90
executed_tx 152200, accessedPercentage 90
executed_tx 152300, accessedPercentage 90
executed_tx 152400, accessedPercentage 90
executed_tx 152500, accessedPercentage 90
executed_tx 152600, accessedPercentage 90
executed_tx 152700, accessedPercentage 90
Predicted: 417519.687500|422487.000000|422947.500000|0.000000, measured: 574963.250000, max txs: 8, ab.prob: 0.083279
executed_tx 152800, accessedPercentage 90
executed_tx 152900, accessedPercentage 90
executed_tx 153000, accessedPercentage 90
executed_tx 153100, accessedPercentage 91
executed_tx 153200, accessedPercentage 91
executed_tx 153300, accessedPercentage 91
executed_tx 153400, accessedPercentage 91
executed_tx 153500, accessedPercentage 91
executed_tx 153600, accessedPercentage 91
executed_tx 153700, accessedPercentage 91
executed_tx 153800, accessedPercentage 91
Predicted: 419135.625000|423120.718750|423443.875000|0.000000, measured: 574208.875000, max txs: 8, ab.prob: 0.083794
executed_tx 153900, accessedPercentage 91
executed_tx 154000, accessedPercentage 91
executed_tx 154100, accessedPercentage 91
executed_tx 154200, accessedPercentage 91
executed_tx 154300, accessedPercentage 91
executed_tx 154400, accessedPercentage 91
executed_tx 154500, accessedPercentage 91
executed_tx 154600, accessedPercentage 91
executed_tx 154700, accessedPercentage 91
executed_tx 154800, accessedPercentage 91
executed_tx 154900, accessedPercentage 91
Predicted: 415976.312500|420510.406250|420970.718750|0.000000, measured: 574305.875000, max txs: 8, ab.prob: 0.084860
executed_tx 155000, accessedPercentage 91
executed_tx 155100, accessedPercentage 91
executed_tx 155200, accessedPercentage 91
executed_tx 155300, accessedPercentage 91
executed_tx 155400, accessedPercentage 91
executed_tx 155500, accessedPercentage 91
executed_tx 155600, accessedPercentage 91
executed_tx 155700, accessedPercentage 91
executed_tx 155800, accessedPercentage 91
executed_tx 155900, accessedPercentage 91
executed_tx 156000, accessedPercentage 91
Predicted: 422762.750000|428233.468750|428696.312500|0.000000, measured: 574550.750000, max txs: 8, ab.prob: 0.081825
executed_tx 156100, accessedPercentage 91
executed_tx 156200, accessedPercentage 91
executed_tx 156300, accessedPercentage 91
executed_tx 156400, accessedPercentage 91
executed_tx 156500, accessedPercentage 91
executed_tx 156600, accessedPercentage 91
executed_tx 156700, accessedPercentage 91
executed_tx 156800, accessedPercentage 91
executed_tx 156900, accessedPercentage 91
executed_tx 157000, accessedPercentage 91
executed_tx 157100, accessedPercentage 91
Predicted: 422409.625000|426278.125000|426872.750000|0.000000, measured: 574740.625000, max txs: 8, ab.prob: 0.083333
executed_tx 157200, accessedPercentage 91
executed_tx 157300, accessedPercentage 91
executed_tx 157400, accessedPercentage 91
executed_tx 157500, accessedPercentage 91
executed_tx 157600, accessedPercentage 91
executed_tx 157700, accessedPercentage 91
executed_tx 157800, accessedPercentage 91
executed_tx 157900, accessedPercentage 91
executed_tx 158000, accessedPercentage 91
executed_tx 158100, accessedPercentage 91
executed_tx 158200, accessedPercentage 91
Predicted: 416793.031250|423337.781250|423943.625000|0.000000, measured: 558131.000000, max txs: 8, ab.prob: 0.083705
executed_tx 158300, accessedPercentage 91
executed_tx 158400, accessedPercentage 91
executed_tx 158500, accessedPercentage 91
executed_tx 158600, accessedPercentage 91
executed_tx 158700, accessedPercentage 91
executed_tx 158800, accessedPercentage 92
executed_tx 158900, accessedPercentage 92
executed_tx 159000, accessedPercentage 92
executed_tx 159100, accessedPercentage 92
executed_tx 159200, accessedPercentage 92
executed_tx 159300, accessedPercentage 92
Predicted: 425725.593750|429425.031250|429960.781250|0.000000, measured: 578115.062500, max txs: 8, ab.prob: 0.082497
executed_tx 159400, accessedPercentage 92
executed_tx 159500, accessedPercentage 92
executed_tx 159600, accessedPercentage 92
executed_tx 159700, accessedPercentage 92
executed_tx 159800, accessedPercentage 92
executed_tx 159900, accessedPercentage 92
executed_tx 160000, accessedPercentage 92
executed_tx 160100, accessedPercentage 92
executed_tx 160200, accessedPercentage 92
executed_tx 160300, accessedPercentage 92
executed_tx 160400, accessedPercentage 92
Predicted: 418166.593750|423947.750000|424320.375000|0.000000, measured: 570689.937500, max txs: 8, ab.prob: 0.084240
executed_tx 160500, accessedPercentage 92
executed_tx 160600, accessedPercentage 92
executed_tx 160700, accessedPercentage 92
executed_tx 160800, accessedPercentage 92
executed_tx 160900, accessedPercentage 92
executed_tx 161000, accessedPercentage 92
executed_tx 161100, accessedPercentage 92
executed_tx 161200, accessedPercentage 92
executed_tx 161300, accessedPercentage 92
executed_tx 161400, accessedPercentage 92
executed_tx 161500, accessedPercentage 92
Predicted: 421974.031250|426715.593750|427192.250000|0.000000, measured: 573999.000000, max txs: 8, ab.prob: 0.082636
executed_tx 161600, accessedPercentage 92
executed_tx 161700, accessedPercentage 92
executed_tx 161800, accessedPercentage 92
executed_tx 161900, accessedPercentage 92
executed_tx 162000, accessedPercentage 92
executed_tx 162100, accessedPercentage 92
executed_tx 162200, accessedPercentage 92
executed_tx 162300, accessedPercentage 92
executed_tx 162400, accessedPercentage 92
executed_tx 162500, accessedPercentage 92
Predicted: 421990.843750|425811.312500|426129.343750|0.000000, measured: 570885.750000, max txs: 8, ab.prob: 0.080179
executed_tx 162600, accessedPercentage 92
executed_tx 162700, accessedPercentage 92
executed_tx 162800, accessedPercentage 92
executed_tx 162900, accessedPercentage 92
executed_tx 163000, accessedPercentage 92
executed_tx 163100, accessedPercentage 92
executed_tx 163200, accessedPercentage 92
executed_tx 163300, accessedPercentage 92
executed_tx 163400, accessedPercentage 92
executed_tx 163500, accessedPercentage 92
executed_tx 163600, accessedPercentage 92
Predicted: 423233.562500|426895.156250|427308.968750|0.000000, measured: 573578.750000, max txs: 8, ab.prob: 0.079796
executed_tx 163700, accessedPercentage 92
executed_tx 163800, accessedPercentage 92
executed_tx 163900, accessedPercentage 92
executed_tx 164000, accessedPercentage 92
executed_tx 164100, accessedPercentage 92
executed_tx 164200, accessedPercentage 92
executed_tx 164300, accessedPercentage 92
executed_tx 164400, accessedPercentage 92
executed_tx 164500, accessedPercentage 92
executed_tx 164600, accessedPercentage 92
executed_tx 164700, accessedPercentage 92
Predicted: 414464.000000|419032.468750|419454.562500|0.000000, measured: 572844.125000, max txs: 8, ab.prob: 0.087876
executed_tx 164800, accessedPercentage 93
executed_tx 164900, accessedPercentage 93
executed_tx 165000, accessedPercentage 93
executed_tx 165100, accessedPercentage 93
executed_tx 165200, accessedPercentage 93
executed_tx 165300, accessedPercentage 93
executed_tx 165400, accessedPercentage 93
executed_tx 165500, accessedPercentage 93
executed_tx 165600, accessedPercentage 93
executed_tx 165700, accessedPercentage 93
executed_tx 165800, accessedPercentage 93
Predicted: 424643.968750|429132.781250|429764.781250|0.000000, measured: 575846.000000, max txs: 8, ab.prob: 0.078789
executed_tx 165900, accessedPercentage 93
executed_tx 166000, accessedPercentage 93
executed_tx 166100, accessedPercentage 93
executed_tx 166200, accessedPercentage 93
executed_tx 166300, accessedPercentage 93
executed_tx 166400, accessedPercentage 93
executed_tx 166500, accessedPercentage 93
executed_tx 166600, accessedPercentage 93
executed_tx 166700, accessedPercentage 93
executed_tx 166800, accessedPercentage 93
executed_tx 166900, accessedPercentage 93
Predicted: 420968.187500|426497.000000|426865.812500|0.000000, measured: 647585.187500, max txs: 8, ab.prob: 0.072469
executed_tx 167000, accessedPercentage 93
executed_tx 167100, accessedPercentage 93
executed_tx 167200, accessedPercentage 93
executed_tx 167300, accessedPercentage 93
executed_tx 167400, accessedPercentage 93
executed_tx 167500, accessedPercentage 93
executed_tx 167600, accessedPercentage 93
executed_tx 167700, accessedPercentage 93
executed_tx 167800, accessedPercentage 93
executed_tx 167900, accessedPercentage 93
executed_tx 168000, accessedPercentage 93
Predicted: 421355.031250|425875.687500|426231.031250|0.000000, measured: 574215.750000, max txs: 8, ab.prob: 0.081637
executed_tx 168100, accessedPercentage 93
executed_tx 168200, accessedPercentage 93
executed_tx 168300, accessedPercentage 93
executed_tx 168400, accessedPercentage 93
executed_tx 168500, accessedPercentage 93
executed_tx 168600, accessedPercentage 93
executed_tx 168700, accessedPercentage 93
executed_tx 168800, accessedPercentage 93
executed_tx 168900, accessedPercentage 93
executed_tx 169000, accessedPercentage 93
executed_tx 169100, accessedPercentage 93
Predicted: 418183.968750|421717.968750|421975.062500|0.000000, measured: 573218.312500, max txs: 8, ab.prob: 0.082030
executed_tx 169200, accessedPercentage 93
executed_tx 169300, accessedPercentage 93
executed_tx 169400, accessedPercentage 93
executed_tx 169500, accessedPercentage 93
executed_tx 169600, accessedPercentage 93
executed_tx 169700, accessedPercentage 93
executed_tx 169800, accessedPercentage 93
executed_tx 169900, accessedPercentage 93
executed_tx 170000, accessedPercentage 93
executed_tx 170100, accessedPercentage 93
executed_tx 170200, accessedPercentage 93
Predicted: 419096.625000|424021.406250|424383.781250|0.000000, measured: 571744.062500, max txs: 8, ab.prob: 0.083863
executed_tx 170300, accessedPercentage 93
executed_tx 170400, accessedPercentage 93
executed_tx 170500, accessedPercentage 93
executed_tx 170600, accessedPercentage 93
executed_tx 170700, accessedPercentage 93
executed_tx 170800, accessedPercentage 93
executed_tx 170900, accessedPercentage 93
executed_tx 171000, accessedPercentage 93
executed_tx 171100, accessedPercentage 93
executed_tx 171200, accessedPercentage 93
executed_tx 171300, accessedPercentage 94
Predicted: 422282.687500|424889.625000|425438.781250|0.000000, measured: 573508.875000, max txs: 8, ab.prob: 0.081400
executed_tx 171400, accessedPercentage 94
executed_tx 171500, accessedPercentage 94
executed_tx 171600, accessedPercentage 94
executed_tx 171700, accessedPercentage 94
executed_tx 171800, accessedPercentage 94
executed_tx 171900, accessedPercentage 94
executed_tx 172000, accessedPercentage 94
executed_tx 172100, accessedPercentage 94
executed_tx 172200, accessedPercentage 94
executed_tx 172300, accessedPercentage 94
executed_tx 172400, accessedPercentage 94
Predicted: 425647.531250|428928.343750|429378.562500|0.000000, measured: 573461.562500, max txs: 8, ab.prob: 0.079091
executed_tx 172500, accessedPercentage 94
executed_tx 172600, accessedPercentage 94
executed_tx 172700, accessedPercentage 94
executed_tx 172800, accessedPercentage 94
executed_tx 172900, accessedPercentage 94
executed_tx 173000, accessedPercentage 94
executed_tx 173100, accessedPercentage 94
executed_tx 173200, accessedPercentage 94
executed_tx 173300, accessedPercentage 94
executed_tx 173400, accessedPercentage 94
Predicted: 422844.218750|426221.562500|426909.812500|0.000000, measured: 574406.812500, max txs: 8, ab.prob: 0.077959
executed_tx 173500, accessedPercentage 94
executed_tx 173600, accessedPercentage 94
executed_tx 173700, accessedPercentage 94
executed_tx 173800, accessedPercentage 94
executed_tx 173900, accessedPercentage 94
executed_tx 174000, accessedPercentage 94
executed_tx 174100, accessedPercentage 94
executed_tx 174200, accessedPercentage 94
executed_tx 174300, accessedPercentage 94
executed_tx 174400, accessedPercentage 94
executed_tx 174500, accessedPercentage 94
Predicted: 425675.781250|430227.406250|430653.250000|0.000000, measured: 574588.500000, max txs: 8, ab.prob: 0.082336
executed_tx 174600, accessedPercentage 94
executed_tx 174700, accessedPercentage 94
executed_tx 174800, accessedPercentage 94
executed_tx 174900, accessedPercentage 94
executed_tx 175000, accessedPercentage 94
executed_tx 175100, accessedPercentage 94
executed_tx 175200, accessedPercentage 94
executed_tx 175300, accessedPercentage 94
executed_tx 175400, accessedPercentage 94
executed_tx 175500, accessedPercentage 94
executed_tx 175600, accessedPercentage 94
Predicted: 417922.875000|421220.781250|421785.500000|0.000000, measured: 574559.750000, max txs: 8, ab.prob: 0.074560
executed_tx 175700, accessedPercentage 94
executed_tx 175800, accessedPercentage 94
executed_tx 175900, accessedPercentage 94
executed_tx 176000, accessedPercentage 94
executed_tx 176100, accessedPercentage 94
executed_tx 176200, accessedPercentage 94
executed_tx 176300, accessedPercentage 94
executed_tx 176400, accessedPercentage 94
executed_tx 176500, accessedPercentage 94
executed_tx 176600, accessedPercentage 94
executed_tx 176700, accessedPercentage 94
Predicted: 422366.906250|427626.656250|428194.406250|0.000000, measured: 575645.625000, max txs: 8, ab.prob: 0.080645
executed_tx 176800, accessedPercentage 94
executed_tx 176900, accessedPercentage 94
executed_tx 177000, accessedPercentage 94
executed_tx 177100, accessedPercentage 94
executed_tx 177200, accessedPercentage 94
executed_tx 177300, accessedPercentage 94
executed_tx 177400, accessedPercentage 94
executed_tx 177500, accessedPercentage 94
executed_tx 177600, accessedPercentage 94
executed_tx 177700, accessedPercentage 94
executed_tx 177800, accessedPercentage 94
Predicted: 422752.125000|426559.062500|427287.750000|0.000000, measured: 573594.437500, max txs: 8, ab.prob: 0.076516
executed_tx 177900, accessedPercentage 94
executed_tx 178000, accessedPercentage 94
executed_tx 178100, accessedPercentage 94
executed_tx 178200, accessedPercentage 94
executed_tx 178300, accessedPercentage 95
executed_tx 178400, accessedPercentage 95
executed_tx 178500, accessedPercentage 95
executed_tx 178600, accessedPercentage 95
executed_tx 178700, accessedPercentage 95
executed_tx 178800, accessedPercentage 95
executed_tx 178900, accessedPercentage 95
Predicted: 421060.562500|425417.531250|425943.187500|0.000000, measured: 574126.625000, max txs: 8, ab.prob: 0.077931
executed_tx 179000, accessedPercentage 95
executed_tx 179100, accessedPercentage 95
executed_tx 179200, accessedPercentage 95
executed_tx 179300, accessedPercentage 95
executed_tx 179400, accessedPercentage 95
executed_tx 179500, accessedPercentage 95
executed_tx 179600, accessedPercentage 95
executed_tx 179700, accessedPercentage 95
executed_tx 179800, accessedPercentage 95
executed_tx 179900, accessedPercentage 95
executed_tx 180000, accessedPercentage 95
Predicted: 426072.906250|431367.656250|431895.625000|0.000000, measured: 575891.062500, max txs: 8, ab.prob: 0.081854
executed_tx 180100, accessedPercentage 95
executed_tx 180200, accessedPercentage 95
executed_tx 180300, accessedPercentage 95
executed_tx 180400, accessedPercentage 95
executed_tx 180500, accessedPercentage 95
executed_tx 180600, accessedPercentage 95
executed_tx 180700, accessedPercentage 95
executed_tx 180800, accessedPercentage 95
executed_tx 180900, accessedPercentage 95
executed_tx 181000, accessedPercentage 95
executed_tx 181100, accessedPercentage 95
Predicted: 423559.156250|427785.781250|428187.125000|0.000000, measured: 574322.687500, max txs: 8, ab.prob: 0.081119
executed_tx 181200, accessedPercentage 95
executed_tx 181300, accessedPercentage 95
executed_tx 181400, accessedPercentage 95
executed_tx 181500, accessedPercentage 95
executed_tx 181600, accessedPercentage 95
executed_tx 181700, accessedPercentage 95
executed_tx 181800, accessedPercentage 95
executed_tx 181900, accessedPercentage 95
executed_tx 182000, accessedPercentage 95
executed_tx 182100, accessedPercentage 95
executed_tx 182200, accessedPercentage 95
Predicted: 418824.812500|422524.312500|423149.281250|0.000000, measured: 649460.312500, max txs: 8, ab.prob: 0.070225
executed_tx 182300, accessedPercentage 95
executed_tx 182400, accessedPercentage 95
executed_tx 182500, accessedPercentage 95
executed_tx 182600, accessedPercentage 95
executed_tx 182700, accessedPercentage 95
executed_tx 182800, accessedPercentage 95
executed_tx 182900, accessedPercentage 95
executed_tx 183000, accessedPercentage 95
executed_tx 183100, accessedPercentage 95
executed_tx 183200, accessedPercentage 95
executed_tx 183300, accessedPercentage 95
Predicted: 420469.968750|424488.093750|424822.281250|0.000000, measured: 575171.375000, max txs: 8, ab.prob: 0.074879
executed_tx 183400, accessedPercentage 95
executed_tx 183500, accessedPercentage 95
executed_tx 183600, accessedPercentage 95
executed_tx 183700, accessedPercentage 95
executed_tx 183800, accessedPercentage 95
executed_tx 183900, accessedPercentage 95
executed_tx 184000, accessedPercentage 95
executed_tx 184100, accessedPercentage 95
executed_tx 184200, accessedPercentage 95
executed_tx 184300, accessedPercentage 95
executed_tx 184400, accessedPercentage 95
Predicted: 415917.187500|421809.968750|422634.843750|0.000000, measured: 574019.750000, max txs: 8, ab.prob: 0.085129
executed_tx 184500, accessedPercentage 95
executed_tx 184600, accessedPercentage 95
executed_tx 184700, accessedPercentage 95
executed_tx 184800, accessedPercentage 95
executed_tx 184900, accessedPercentage 95
executed_tx 185000, accessedPercentage 95
executed_tx 185100, accessedPercentage 95
executed_tx 185200, accessedPercentage 95
executed_tx 185300, accessedPercentage 95
executed_tx 185400, accessedPercentage 95
Predicted: 420241.468750|425400.062500|425808.593750|0.000000, measured: 646877.875000, max txs: 8, ab.prob: 0.070029
executed_tx 185500, accessedPercentage 95
executed_tx 185600, accessedPercentage 95
executed_tx 185700, accessedPercentage 95
executed_tx 185800, accessedPercentage 95
executed_tx 185900, accessedPercentage 95
executed_tx 186000, accessedPercentage 96
executed_tx 186100, accessedPercentage 96
executed_tx 186200, accessedPercentage 96
executed_tx 186300, accessedPercentage 96
executed_tx 186400, accessedPercentage 96
executed_tx 186500, accessedPercentage 96
Predicted: 419311.625000|422767.281250|423184.781250|0.000000, measured: 648741.750000, max txs: 8, ab.prob: 0.063979
executed_tx 186600, accessedPercentage 96
executed_tx 186700, accessedPercentage 96
executed_tx 186800, accessedPercentage 96
executed_tx 186900, accessedPercentage 96
executed_tx 187000, accessedPercentage 96
executed_tx 187100, accessedPercentage 96
executed_tx 187200, accessedPercentage 96
executed_tx 187300, accessedPercentage 96
executed_tx 187400, accessedPercentage 96
executed_tx 187500, accessedPercentage 96
executed_tx 187600, accessedPercentage 96
Predicted: 415217.937500|419671.250000|420252.843750|0.000000, measured: 575977.000000, max txs: 8, ab.prob: 0.076301
executed_tx 187700, accessedPercentage 96
executed_tx 187800, accessedPercentage 96
executed_tx 187900, accessedPercentage 96
executed_tx 188000, accessedPercentage 96
executed_tx 188100, accessedPercentage 96
executed_tx 188200, accessedPercentage 96
executed_tx 188300, accessedPercentage 96
executed_tx 188400, accessedPercentage 96
executed_tx 188500, accessedPercentage 96
executed_tx 188600, accessedPercentage 96
executed_tx 188700, accessedPercentage 96
Predicted: 422807.437500|426272.843750|426979.687500|0.000000, measured: 574376.625000, max txs: 8, ab.prob: 0.074887
executed_tx 188800, accessedPercentage 96
executed_tx 188900, accessedPercentage 96
executed_tx 189000, accessedPercentage 96
executed_tx 189100, accessedPercentage 96
executed_tx 189200, accessedPercentage 96
executed_tx 189300, accessedPercentage 96
executed_tx 189400, accessedPercentage 96
executed_tx 189500, accessedPercentage 96
executed_tx 189600, accessedPercentage 96
executed_tx 189700, accessedPercentage 96
executed_tx 189800, accessedPercentage 96
Predicted: 425817.750000|429191.468750|429858.343750|0.000000, measured: 576075.750000, max txs: 8, ab.prob: 0.075438
executed_tx 189900, accessedPercentage 96
executed_tx 190000, accessedPercentage 96
executed_tx 190100, accessedPercentage 96
executed_tx 190200, accessedPercentage 96
executed_tx 190300, accessedPercentage 96
executed_tx 190400, accessedPercentage 96
executed_tx 190500, accessedPercentage 96
executed_tx 190600, accessedPercentage 96
executed_tx 190700, accessedPercentage 96
executed_tx 190800, accessedPercentage 96
executed_tx 190900, accessedPercentage 96
Predicted: 422453.218750|427010.531250|427560.750000|0.000000, measured: 576206.750000, max txs: 8, ab.prob: 0.075175
executed_tx 191000, accessedPercentage 96
executed_tx 191100, accessedPercentage 96
executed_tx 191200, accessedPercentage 96
executed_tx 191300, accessedPercentage 96
executed_tx 191400, accessedPercentage 96
executed_tx 191500, accessedPercentage 96
executed_tx 191600, accessedPercentage 96
executed_tx 191700, accessedPercentage 96
executed_tx 191800, accessedPercentage 96
executed_tx 191900, accessedPercentage 96
executed_tx 192000, accessedPercentage 96
Predicted: 423530.937500|427865.937500|428298.500000|0.000000, measured: 645587.187500, max txs: 8, ab.prob: 0.077163
executed_tx 192100, accessedPercentage 96
executed_tx 192200, accessedPercentage 96
executed_tx 192300, accessedPercentage 96
executed_tx 192400, accessedPercentage 96
executed_tx 192500, accessedPercentage 96
executed_tx 192600, accessedPercentage 96
executed_tx 192700, accessedPercentage 96
executed_tx 192800, accessedPercentage 96
executed_tx 192900, accessedPercentage 96
executed_tx 193000, accessedPercentage 96
Predicted: 416957.406250|421163.468750|421739.843750|0.000000, measured: 575960.125000, max txs: 8, ab.prob: 0.075577
executed_tx 193100, accessedPercentage 96
executed_tx 193200, accessedPercentage 96
